0,1,2,3,4,5,6,label
7.6912,9.2,4.8,-0.1,74.4,20.0,600.0,3.71844
7.69894,6.4,3.5,-0.3,56.0,14.0,196.0,3.10009
4.81218,-3.7,0.9,-0.1,281.3,4.0,513.0,3.31419
6.95177,-7.2,1.7,1.2,74.0,23.0,143.0,4.38826
7.51806,-1.3,2.6,-0.1,65.0,11.0,115.0,4.3464
7.67183,2.6,1.6,0.3,224.2,19.0,527.0,4.16044
5.52545,-7.9,1.6,0.3,211.9,5.0,502.0,4.01277
4.68213,-4.1,3.8,-0.1,63.1,4.0,453.0,2.15176
7.15618,-12.7,5.2,-0.1,64.5,12.0,462.0,3.157
4.74493,-1.6,3.0,0.4,58.3,3.0,554.0,2.37955
5.81114,-3.1,1.8,0.3,78.0,2.0,55.0,3.83298
8.10892,1.0,1.2,1.5,215.0,18.0,47.0,4.48187
8.31385,12.2,4.0,-2.8,230.4,17.0,572.0,4.0483
5.22036,-1.5,2.4,0.9,82.7,5.0,556.0,4.00186
6.40853,-0.9,3.0,0.1,235.0,1.0,69.0,3.2308
7.3192,-8.5,0.8,2.9,282.4,20.0,447.0,4.67189
6.6174,6.5,4.1,0.0,88.0,24.0,186.0,2.73437
7.76938,4.2,7.1,-1.1,9.3,10.0,550.0,3.49651
6.4677,-1.1,2.5,1.0,277.0,6.0,142.0,3.67122
7.65064,0.8,3.4,-0.4,70.0,12.0,167.0,3.67377
7.75061,8.2,4.5,0.2,307.0,14.0,32.0,3.15274
5.18178,0.2,0.4,0.2,230.0,5.0,112.0,3.42751
7.63964,-2.1,4.3,-0.2,41.4,11.0,432.0,4.32413
8.00703,-2.8,6.0,-0.2,62.5,15.0,453.0,3.65584
7.75319,-5.4,2.5,1.4,83.0,20.0,98.0,3.93183
4.65396,-5.7,4.9,-0.1,58.5,4.0,409.0,2.28238
6.67582,6.6,1.6,0.4,104.5,23.0,579.0,4.13035
7.79688,5.7,4.8,-1.5,223.0,11.0,178.0,3.77963
8.02224,13.8,0.8,-0.1,201.6,17.0,602.0,3.97968
7.48829,3.2,4.2,-0.6,285.0,12.0,121.0,3.7542
7.75148,2.1,4.9,0.2,149.0,19.0,60.0,3.45632
6.12468,5.3,3.2,0.0,73.0,1.0,209.0,2.36085
7.71244,7.5,1.8,-2.7,273.9,12.0,530.0,4.23411
7.56941,10.7,3.1,-0.9,56.0,13.0,189.0,2.2192
7.35947,-9.6,1.3,0.1,64.6,21.0,437.0,4.53475
7.99564,3.2,6.5,0.0,42.8,18.0,553.0,2.10413
8.30251,3.5,0.5,-2.2,207.9,8.0,535.0,4.5819
5.95584,6.7,1.1,0.6,89.9,5.0,605.0,4.03247
6.74052,-6.4,2.8,-0.1,77.0,22.0,84.0,3.21084
6.45205,-3.0,0.6,1.7,57.0,6.0,73.0,4.04655
6.39359,-13.4,4.4,-0.1,80.0,6.0,95.0,3.94546
7.16317,1.4,0.9,0.2,274.0,10.0,76.0,3.89182
7.643,8.5,4.3,-0.2,322.0,13.0,32.0,3.22287
5.93754,-2.8,2.1,-0.2,65.0,1.0,124.0,3.3569
7.61923,16.6,4.8,-1.1,136.9,14.0,595.0,3.31782
8.34854,2.7,7.7,0.1,219.0,17.0,159.0,3.81551
8.1274,19.1,5.1,-1.2,266.6,16.0,603.0,3.45632
6.83626,7.8,7.5,0.8,220.0,21.0,34.0,2.66723
5.27811,1.5,3.3,1.6,251.0,5.0,156.0,3.76815
5.68358,0.3,2.1,1.1,220.4,5.0,538.0,2.87356
7.76004,-7.3,0.5,-0.3,176.0,13.0,84.0,3.48431
6.30079,-1.6,2.0,0.1,289.1,7.0,510.0,2.92852
5.52146,1.1,1.0,0.2,9.0,5.0,113.0,3.32143
7.79811,16.1,1.7,-0.2,246.1,19.0,570.0,4.35543
6.14419,-7.9,1.2,0.3,56.0,11.0,86.0,3.7329
6.54965,1.1,2.8,0.0,66.0,24.0,59.0,2.70805
5.64545,0.3,7.1,-0.1,69.5,2.0,425.0,2.4248
6.632,4.1,3.9,0.3,212.0,6.0,106.0,3.45632
7.64012,5.9,2.4,2.6,249.0,16.0,48.0,4.26127
6.86589,-6.8,6.9,-0.1,50.0,10.0,90.0,2.57261
6.6896,0.3,0.6,0.7,252.0,21.0,104.0,3.79549
7.36771,1.8,1.7,0.7,91.0,22.0,140.0,4.08429
7.6256,-7.9,1.0,-0.2,188.9,12.0,443.0,5.11259
5.50533,3.4,6.3,0.6,186.0,2.0,475.0,3.37417
8.06778,3.9,2.8,-0.1,43.5,18.0,576.0,4.13035
7.76345,9.2,5.7,-0.9,199.0,14.0,212.0,4.35927
8.25713,11.0,5.5,-1.0,216.0,17.0,193.0,4.27667
5.57595,-3.5,4.6,-0.1,62.3,5.0,418.0,2.69463
7.93487,9.7,1.8,-0.6,255.5,15.0,529.0,4.04655
6.32972,1.5,1.6,0.5,275.0,24.0,114.0,3.91202
4.83628,2.0,1.7,-0.1,63.1,4.0,549.0,3.19458
7.78322,3.7,2.2,0.0,40.5,19.0,576.0,4.01998
7.67276,-7.1,1.5,-0.4,53.1,15.0,517.0,3.2068
8.22013,2.0,3.5,-0.2,82.0,8.0,64.0,3.8111
7.53155,-0.7,3.3,-0.2,179.3,20.0,522.0,3.87536
7.83992,1.0,6.9,-0.3,81.7,11.0,558.0,4.43438
5.0626,2.4,2.1,0.3,216.0,4.0,177.0,2.85647
8.17245,4.2,5.9,0.3,214.0,16.0,108.0,4.2312
8.24905,0.8,1.3,0.2,215.0,8.0,162.0,4.11087
6.53088,0.5,2.1,0.0,83.0,23.0,58.0,3.48124
8.18702,-4.0,0.9,0.9,245.9,16.0,513.0,4.10099
7.81682,-3.6,4.0,0.0,43.4,18.0,409.0,3.32504
7.62462,3.8,2.0,2.8,283.1,20.0,543.0,4.75014
