0,1,2,3,4,5,6,label
7.74414,-4.4,4.2,0.0,18.0,19.0,116.0,3.66356
8.03398,-5.7,4.8,-0.3,69.1,9.0,506.0,3.04452
4.70048,-13.5,4.3,0.2,80.0,3.0,95.0,3.71357
7.5251,1.4,3.0,0.1,177.0,22.0,161.0,2.94444
7.7626,4.1,5.6,1.1,287.0,7.0,80.0,4.06044
7.88683,5.8,2.3,-0.1,200.0,9.0,33.0,3.68888
7.81521,2.7,1.9,0.4,228.0,7.0,129.0,3.3322
7.77779,7.1,8.9,0.2,220.0,15.0,155.0,3.3673
6.89163,4.1,2.0,0.1,183.0,9.0,132.0,2.07944
7.6774,1.1,5.2,0.1,43.1,10.0,480.0,1.94591
5.71373,-9.0,3.4,0.0,80.0,6.0,98.0,3.3322
8.33471,1.6,4.4,-0.3,78.1,16.0,558.0,3.21888
4.65396,-0.4,5.7,0.8,267.0,3.0,121.0,1.09861
7.38895,-4.8,6.0,0.0,81.0,20.0,122.0,5.3845
7.81763,-0.9,1.4,-0.3,236.0,15.0,51.0,3.93183
4.96981,-0.5,0.6,1.7,341.1,4.0,552.0,3.3673
7.80384,-1.0,1.8,0.0,16.0,7.0,150.0,2.83321
7.62168,-2.3,5.2,-0.1,66.1,12.0,428.0,3.04452
5.21494,5.8,2.6,-0.2,68.8,3.0,582.0,2.99573
7.64204,5.1,2.2,1.1,199.0,18.0,538.0,4.21951
7.77149,10.8,2.4,-1.5,329.8,13.0,579.0,3.04452
8.31385,12.2,4.0,-2.8,230.4,17.0,572.0,3.7612
7.63964,-2.8,2.1,-1.6,210.2,11.0,512.0,3.58352
7.05531,11.2,3.3,2.3,302.8,23.0,604.0,2.48491
7.38275,13.6,0.6,-0.8,159.8,11.0,602.0,2.48491
7.56786,-12.3,3.7,-0.2,70.0,12.0,460.0,3.3322
7.92226,4.2,1.4,0.2,161.0,7.0,127.0,3.13549
7.38771,-2.8,4.5,0.1,53.3,21.0,417.0,2.07944
7.4793,3.4,7.2,0.5,209.1,12.0,477.0,3.68888
3.97029,-11.7,2.7,1.7,81.0,4.0,87.0,2.99573
8.05102,-2.5,3.2,0.1,83.0,9.0,51.0,3.98898
6.67834,3.9,4.8,-0.6,66.8,8.0,573.0,3.04452
7.34601,3.0,1.4,1.0,200.0,21.0,177.0,3.55535
7.54062,0.0,6.1,-0.2,207.5,19.0,489.0,1.79176
4.82028,-2.6,2.1,0.7,72.8,4.0,530.0,3.04452
7.80057,1.0,2.2,0.0,99.0,7.0,65.0,2.56495
7.41878,-0.2,1.1,3.2,138.0,22.0,49.0,4.36945
7.96032,7.7,4.8,-0.2,66.0,17.0,196.0,3.46574
8.23669,10.7,5.3,-0.9,205.0,17.0,192.0,4.60517
8.30721,9.3,7.3,-0.5,206.0,17.0,212.0,3.09104
8.26333,9.5,5.0,-0.9,208.0,17.0,208.0,4.15888
7.50329,1.6,4.5,0.1,117.0,19.0,62.0,1.79176
6.49527,-3.4,0.5,1.1,217.0,6.0,135.0,2.48491
7.74414,-1.3,4.2,-0.2,59.0,15.0,149.0,3.21888
6.75577,-3.2,2.6,0.6,70.5,21.0,398.0,3.73767
6.51915,-1.8,2.3,1.1,81.0,23.0,174.0,4.2485
4.77068,-0.5,0.5,0.7,358.0,4.0,402.0,3.8712
7.88721,7.6,4.0,-0.6,180.0,13.0,208.0,4.00733
5.42053,3.4,2.9,0.4,74.7,3.0,567.0,2.94444
3.80666,7.4,3.2,-0.1,225.0,3.0,205.0,3.09104
4.8752,-3.5,3.8,-0.1,60.5,3.0,418.0,1.94591
8.25088,19.8,4.8,-1.9,260.0,17.0,206.0,3.52636
7.85516,16.3,3.4,-0.1,225.3,20.0,605.0,3.8712
8.25427,-7.3,5.0,0.0,60.0,8.0,506.0,2.99573
7.36201,-0.6,0.8,1.1,88.3,21.0,422.0,4.07754
7.59388,-0.4,4.5,-0.2,64.6,13.0,430.0,3.21888
8.35208,17.8,5.0,-2.5,219.6,16.0,599.0,3.49651
4.62497,-1.9,2.2,2.2,268.0,4.0,172.0,3.2581
7.39879,-10.0,3.8,-0.1,78.4,20.0,449.0,2.99573
6.48616,-1.3,2.9,0.7,63.3,24.0,397.0,2.70805
6.20456,4.7,1.5,1.1,104.4,1.0,588.0,3.09104
7.64348,0.3,1.5,-0.3,172.0,13.0,130.0,4.06044
7.59337,8.8,2.2,0.0,186.0,21.0,577.0,3.61092
6.43455,-9.3,3.6,0.1,71.2,9.0,450.0,2.56495
7.00033,-2.4,5.8,0.0,61.0,22.0,418.0,1.60944
7.49499,2.9,1.2,2.1,271.1,21.0,543.0,5.0876
7.80221,2.5,5.0,0.1,135.0,7.0,128.0,2.30259
7.55276,13.4,3.9,0.3,216.8,19.0,606.0,3.2581
6.82979,-15.5,3.1,0.2,70.3,22.0,460.0,3.66356
7.49053,-1.6,2.2,-0.9,211.7,12.0,501.0,3.04452
7.59035,0.1,2.6,-0.1,73.0,11.0,66.0,3.4012
5.51745,-2.8,0.5,2.2,5.0,5.0,155.0,3.04452
8.18619,-0.9,1.3,0.6,57.0,8.0,67.0,3.4012
5.95842,-10.3,1.2,2.5,86.0,24.0,86.0,3.55535
7.55276,-4.1,0.7,-0.7,264.8,13.0,401.0,3.97029
7.77022,-3.8,4.9,-0.2,68.0,7.0,166.0,4.72739
7.99834,8.2,5.6,-0.6,210.0,15.0,212.0,4.30407
7.15305,-4.8,4.7,-0.1,74.6,23.0,441.0,2.56495
7.95997,-4.3,6.0,0.1,18.0,13.0,82.0,3.78419
6.57508,6.2,1.3,1.1,226.0,24.0,200.0,4.95583
7.88231,3.3,5.8,-0.1,46.9,19.0,557.0,3.66356
7.43603,-1.0,1.8,1.4,89.0,20.0,44.0,5.26786
4.95583,-4.0,1.7,1.0,65.0,2.0,165.0,3.46574
5.1299,7.8,1.6,1.7,184.3,4.0,604.0,2.07944
7.20638,-5.3,1.8,-0.2,80.0,13.0,451.0,3.3673
7.46107,2.2,3.1,0.1,62.3,13.0,470.0,3.29584
7.53209,14.8,4.2,-4.5,227.7,11.0,588.0,2.19722
8.13359,-4.8,1.5,0.0,196.0,17.0,100.0,3.43399
6.91771,12.8,1.0,0.3,103.5,24.0,602.0,3.2581
7.12206,-3.2,4.6,-0.1,62.2,12.0,427.0,2.83321
8.2845,0.7,0.8,-0.8,86.0,8.0,541.0,3.63759
7.56528,3.5,6.9,0.2,204.4,15.0,482.0,2.70805
7.65112,-6.8,2.2,-0.4,78.8,16.0,517.0,2.99573
7.67183,8.3,0.7,-1.3,206.2,14.0,532.0,4.00733
6.31173,-19.0,2.3,0.8,60.9,8.0,461.0,3.43399
7.0775,7.0,4.0,-0.2,54.3,10.0,578.0,0.69315
7.34148,-14.6,1.6,-0.4,228.9,14.0,457.0,3.52636
7.96346,3.6,3.2,1.2,268.0,18.0,42.0,2.63906
7.35116,3.5,1.9,0.2,215.0,20.0,107.0,1.94591
7.54115,5.2,0.9,-1.0,280.0,11.0,155.0,3.71357
6.64249,-8.3,2.6,0.2,60.0,23.0,85.0,2.83321
7.56579,0.6,3.8,-0.4,64.6,12.0,507.0,3.43399
8.1806,-0.5,0.7,-0.2,248.0,15.0,124.0,3.29584
7.60738,1.0,2.4,-0.1,192.0,13.0,38.0,3.17805
7.54327,-8.0,0.6,0.5,88.0,13.0,94.0,4.81218
8.20985,-3.0,1.5,2.7,89.6,8.0,470.0,4.63473
5.76205,5.0,3.2,0.0,58.0,6.0,195.0,3.04452
6.91274,-5.1,0.8,1.4,241.0,23.0,137.0,3.8712
8.19781,0.2,2.4,0.5,80.0,8.0,72.0,3.68888
7.6024,12.9,5.6,-0.8,46.0,13.0,188.0,4.33073
7.54327,2.6,2.6,-1.9,243.0,11.0,45.0,4.61512
7.70661,7.8,8.0,-1.2,33.7,13.0,556.0,4.43082
5.54518,-0.7,2.0,-0.3,254.0,1.0,542.0,3.4012
7.68432,7.7,1.5,-0.1,89.0,16.0,209.0,2.48491
7.90064,1.5,1.3,0.9,334.7,18.0,422.0,3.29584
7.76684,15.8,3.2,-0.2,125.5,17.0,595.0,2.94444
7.97797,4.3,5.7,-1.0,232.0,9.0,156.0,3.3673
7.89767,8.1,6.4,-0.5,199.4,7.0,577.0,2.89037
8.24065,11.6,6.0,-1.3,213.0,16.0,193.0,4.90527
7.07581,2.8,3.2,0.3,223.0,10.0,69.0,2.63906
7.7424,-4.4,4.9,-0.1,23.0,10.0,82.0,3.29584
6.97915,-5.1,3.3,1.4,81.0,23.0,98.0,3.71357
8.27741,2.0,2.5,-0.3,207.2,16.0,536.0,4.39445
8.01268,10.0,4.8,-0.5,83.2,9.0,600.0,3.82864
5.78996,1.1,4.0,-0.1,79.0,3.0,70.0,2.56495
7.45934,6.1,2.5,0.0,92.0,22.0,210.0,3.3322
6.22851,0.1,1.9,1.1,208.8,6.0,538.0,3.13549
6.45362,-2.6,4.9,0.2,38.3,23.0,405.0,0.69315
7.7178,7.9,0.4,0.5,276.0,19.0,184.0,4.00733
7.92696,4.8,9.4,0.6,204.0,14.0,474.0,3.2581
6.56244,2.6,2.8,-0.7,224.1,8.0,545.0,3.2581
8.17273,-9.6,1.1,1.3,191.0,16.0,94.0,4.84419
5.1299,-1.5,2.5,-0.1,245.1,4.0,510.0,2.63906
4.54329,3.8,5.8,0.7,201.9,3.0,473.0,1.38629
5.71043,1.8,2.7,0.9,181.9,1.0,527.0,3.2581
8.19257,-0.7,4.1,0.6,252.0,8.0,121.0,2.30259
5.00395,3.6,2.7,1.2,344.7,4.0,533.0,3.09104
7.39817,3.9,6.2,0.7,206.0,20.0,155.0,2.94444
6.63988,4.7,3.6,0.0,59.0,24.0,196.0,3.4012
6.29342,-2.5,4.9,-0.2,84.0,7.0,167.0,2.99573
7.4378,-9.9,4.5,-0.1,55.0,11.0,89.0,3.82864
7.7977,1.7,2.0,0.3,38.0,15.0,63.0,2.30259
7.33629,-12.8,3.5,0.0,79.0,19.0,97.0,4.29046
7.51589,4.3,2.1,0.6,32.3,20.0,555.0,4.41884
7.70841,2.1,3.1,0.0,79.0,10.0,64.0,3.3673
4.64439,-2.2,4.9,-0.1,77.0,2.0,114.0,2.30259
7.77402,3.3,1.8,-0.3,220.0,10.0,155.0,3.98898
5.05625,5.6,3.5,-0.1,78.0,4.0,184.0,4.12713
5.86363,-0.6,0.6,1.7,142.0,1.0,79.0,3.68888
5.52943,3.4,4.7,0.8,220.1,5.0,474.0,2.30259
7.91754,0.2,2.8,0.4,335.0,15.0,53.0,3.29584
6.74052,-6.4,2.8,-0.1,77.0,22.0,84.0,3.13549
6.53669,8.0,1.9,-0.2,54.6,8.0,578.0,2.07944
7.82844,3.6,0.8,1.5,87.7,19.0,529.0,5.25227
7.74846,-13.4,4.0,0.2,74.1,13.0,448.0,3.78419
5.71043,-2.1,1.3,1.8,87.8,1.0,485.0,3.97029
5.64897,-8.7,4.3,-0.2,74.5,1.0,450.0,2.99573
6.42972,1.6,1.3,1.0,58.0,8.0,76.0,2.56495
6.51323,-3.9,2.8,0.4,71.3,8.0,398.0,3.21888
7.93057,1.4,2.5,0.2,210.5,19.0,525.0,1.38629
7.59337,3.3,4.2,1.2,235.0,20.0,138.0,3.13549
7.19818,3.0,1.8,1.1,191.0,22.0,192.0,4.06044
8.23377,7.2,3.8,-0.2,31.0,15.0,173.0,4.27667
8.13212,-1.7,1.5,-0.1,68.0,8.0,515.0,3.49651
7.87284,0.8,5.0,0.1,76.2,19.0,514.0,3.21888
7.53102,0.1,3.5,1.2,66.3,20.0,397.0,4.07754
7.49276,4.5,6.6,-0.1,210.0,12.0,156.0,4.20469
5.65599,0.3,1.5,1.7,303.4,1.0,529.0,4.18965
7.07327,-0.9,1.6,-0.5,256.5,9.0,510.0,2.48491
6.33683,2.2,2.8,0.1,142.0,1.0,63.0,1.09861
7.21229,-0.6,2.1,0.1,60.0,21.0,134.0,2.48491
7.86978,3.2,2.6,1.3,286.0,20.0,42.0,2.48491
7.84031,4.1,2.7,0.2,175.0,19.0,56.0,0.69315
7.98344,-4.8,0.8,1.1,230.1,17.0,445.0,4.34381
7.03086,7.1,1.6,0.5,66.4,22.0,593.0,2.63906
7.90175,-4.4,3.8,0.1,15.0,9.0,82.0,3.29584
7.72223,7.1,3.9,-0.9,90.0,10.0,197.0,4.17439
8.19451,0.0,0.8,-0.3,254.2,16.0,500.0,3.71357
7.84698,11.6,4.2,-2.7,247.0,14.0,200.0,4.02535
7.58731,3.1,2.2,-3.4,227.0,11.0,148.0,4.85203
6.47235,1.5,1.2,1.3,101.0,24.0,191.0,4.64439
7.74932,15.0,7.3,-2.2,229.9,14.0,584.0,3.63759
8.12711,3.6,4.9,1.2,238.0,18.0,138.0,3.4012
